year,categories,total_received,total_adjudicated,upheld,reversed,total_written,abandoned,withdrawn,dismissed,remanded,invalid
2020,ADMINISTRATIVE DISQUALIFICATION HEARING,28,33,21,5,26,,1,6,,
2020,AGED/DISABLED WAIVER PROGRAM,24,24,8,6,14,3,7,,,
2020,ADULT PROTECTIVE SERVICES,30,30,13,4,17,4,1,8,,
2020,BUREAU OF CHILD SUPPORT ENFORCEMENT,1,1,,,,,,1,,
2020,BUREAU OF PUBLIC HEALTH,1,,,,,,,,,
2020,BURIAL,3,4,2,,2,2,,,,
2020,CHILD CARE - CUSTOMER,18,19,6,,6,4,4,5,,
2020,CHILD CARE - PROVIDER,8,5,,3,3,,1,1,,
2020,CHILDREN W/DISABILITIES COMMUNITY SERVICE PROGRAM,12,14,6,,6,1,3,3,,1
2020,CERTIFIED NURSING ASSISTANT,,2,2,,2,,,,,
2020,CHILD PROTECTIVE SERVICES,209,218,38,25,63,26,2,125,,2
2020,EMERGENCY ASSISTANCE,7,9,2,1,3,5,,1,,
2020,FOSTER CARE,4,5,1,,1,,2,2,,
2020,FEDERALLY FACILITATED MARKETPLACE,4,3,,,,3,,,,
2020,HOMELESS PROGRAM,1,1,1,,1,,,,,
2020,INTELLECTUAL DEVELOPMENT DISABILITY PROGRAM,322,325,23,,23,3,266,19,,14
2020,LOW INCOME ENERGY ASSISTANCE PROGRAM,26,26,1,,1,10,12,3,,
2020,LONG-TERM CARE - FINANCIAL,15,20,5,4,9,4,7,,,
2020,LONG-TERM CARE - MEDICAL,10,10,3,2,5,,4,1,,
2020,MEDICATION ASSISTANCE TREATMENT PROGRAM,1,1,1,,1,,,,,
2020,MEDICAID,367,379,35,9,44,58,217,50,3,7
2020,MEDICAL SERVICES,22,24,2,1,3,6,9,5,,
2020,NON-EMERGENCY TRANSPORTATION PROGRAM,1,1,,,,,1,,,
2020,NURSING HOME DISCHARGE,28,33,8,10,18,,11,4,,
2020,NON-SPECIFIED,1,1,,,,,,,,1
2020,PERSONAL CARE SERVICES,19,30,10,5,15,12,2,1,,
2020,SCHOOL CLOTHING ALLOWANCE,31,31,3,1,4,8,17,2,,
2020,SPECIALIZED FAMILY CARE,1,1,,,,,,1,,
2020,SUPPLEMENTAL NUTRITION ASSISTANCE PROGRAM,518,518,51,12,63,150,252,39,3,11
2020,TRAUMATIC BRAIN INJURY,1,1,,,,,,1,,
2020,UTILITY DISCOUNT PROGRAM,1,1,,,,1,,,,
2020,WEST VIRGINIA CHILDREN'S HEALTH INSURANCE PROGRAM,7,7,1,,1,,5,,,1
2020,WEST VIRGINIA WORKS - CASH ASSISTANCE,61,66,7,5,12,14,27,10,1,1
2019,ADMINISTRATIVE DISQUALIFICATION HEARING,41,50,40,3,43,,,7,,
2019,AGED/DISABLED WAIVER PROGRAM,28,32,10,4,14,9,4,4,1,
2019,ADULT PROTECTIVE SERVICES,33,31,7,6,13,4,2,12,,
2019,BUREAU OF CHILD SUPPORT ENFORCEMENT,1,1,,,,,,1,,
2019,BURIAL,9,8,3,,3,2,1,,,2
2019,CHILD CARE - CUSTOMER,30,29,7,5,12,13,2,1,,1
2019,CHILD CARE - PROVIDER,6,7,2,3,5,1,,1,,
2019,CHILDREN w/DISABILITIES COMMUNITY SERVICE PROGRAM,15,16,8,,8,,5,3,,
2019,CERTIFIED NURSING ASSISTANT,5,9,8,,8,,,1,,
2019,CHILD PROTECTIVE SERVICES,230,218,55,40,95,28,2,92,,1
2019,EMERGENCY ASSISTANCE,10,9,2,,2,2,4,1,,
2019,FACILITY,1,1,,,,,,1,,
2019,FOSTER CARE,13,13,5,1,6,,1,6,,
2019,FEDERALLY FACILITATED MARKETPLACE - MEDICAID,,2,1,,1,1,,,,
2019,INTERM. CARE FACILITIES for INDIVIDUALS w/INTELLECTUAL DISABILITIES,2,2,1,,1,,1,,,
2019,INTELLECTUAL DEVELOPMENT DISABILITIES PROGRAM,283,258,13,,13,5,203,24,,13
2019,LOW-INCOME ENERGY ASSISTANCE PROGRAM,15,15,,2,2,2,9,1,,1
2019,LONG-TERM CARE - FINANCIAL,29,26,3,,3,3,16,4,,
2019,LONG-TERM CARE - MEDICAL ELIGIBILITY,26,28,9,4,13,1,11,3,,
2019,MEDICAID,453,455,28,8,36,94,256,55,2,12
2019,MEDICAL SERVICES,32,33,5,,5,7,17,4,,
2019,NON-EMERGENCY MEDICAL TRANSPORTATION,1,1,,1,1,,,,,
2019,NURSING HOME DISCHARGE,21,19,2,4,6,2,5,6,,
2019,PERSONAL CARE SERVICES,52,51,18,9,27,15,6,3,,
2019,SCHOOL CLOTHING ALLOWANCE,31,31,4,3,7,4,17,3,,
2019,SUPPLEMENTAL NUTRITION SERVICES PROGRAM,564,576,62,18,80,172,274,43,,7
2019,TRAUMATIC BRAIN INJURY,4,4,1,,1,1,1,1,,
2019,TAKE ME HOME,1,1,,,,,1,,,
2019,TREASURY OFFSET PROGRAM - SNAP,1,1,,,,,,1,,
2019,WV CHILDREN'S HEALTH INSURANCE PROGRAM,8,9,2,1,3,1,4,1,,
2019,WEST VIRGINIA WORKS - TANF,50,49,8,6,14,19,10,4,1,1
2018,ADMINISTRATIVE DISQUALIFICATION HEARING,73,78,48,5,53,,1,24,,
2018,AGED/DISABLED WAIVER PROGRAM,41,44,15,7,22,9,11,2,,
2018,ADULT PROTECTIVE SERVICES,22,23,9,5,14,4,,5,,
2018,BUREAU OF CHILD SUPPORT ENFORCEMENT,1,1,,,,,,1,,
2018,BURIAL,4,4,2,,2,1,1,,,
2018,CHILD CARE - CUSTOMER,15,19,4,3,7,9,2,1,,
2018,CHILD CARE - PROVIDER,3,3,,,,,2,1,,
2018,CHILDREN W/DISABILITIES COMMUNITY SERVICE PROGRAM,11,9,5,,5,,1,2,1,
2018,CERTIFIED NURSING AIDE,11,7,6,,6,,,1,,
2018,CHILD PROTECTIVE SERVICES,220,230,56,35,91,18,2,119,,
2018,EMERGENCY ASSISTANCE,7,7,4,,4,1,1,1,,
2018,EMEGENCY MEDICAL SERVICES,,1,1,,1,,,,,
2018,FACILITY,1,1,,,,,,1,,
2018,FOSTER ARE,23,23,3,3,6,2,2,13,,
2018,FEDERALLY FACILITATED MARKETPLACE - MEDICAID,2,,,,,,,,,
2018,HOMELESS PROGRAM,1,1,,,,1,,,,
2018,INTERMEDIATE CARE FACILITIES FOR INDIV. W/INTELLECTUAL DISABILITIES,1,1,,,,,,1,,
2018,INTELLECTUAL DEVELOPMENTAL DISABILITIES,86,112,16,,16,1,50,44,1,
2018,LOW-INCOME ENERGY ASSISTANCE PROGRAM,31,31,3,2,5,11,11,3,,1
2018,LIFELINE,,,,,,,,,,
2018,LONG-TERM CARE - FINANCIAL,37,39,6,,6,2,25,2,2,2
2018,LONG-TERM CARE - MEDICAL ELIGIBLITY,16,15,5,3,8,2,3,2,,
2018,MEDICAID,464,467,52,11,63,63,263,60,2,16
2018,MEDLEY,1,1,,,,,,1,,
2018,MEDICAL SERVICES,47,56,11,,11,12,14,19,,
2018,NON-EMERGENCY MEDICAL TRANSPORTATION,8,10,,,,,7,3,,
2018,NURSING HOME DISCHARGE,28,25,4,5,9,1,1,13,,1
2018,PERSONAL CARE SERVICES,40,33,9,5,14,13,4,2,,
2018,SCHOOL CLOTHING ALLOWANCE,25,25,6,2,8,6,9,1,,1
2018,SUPPLEMENTAL NUTRITION ASSISTANCE PROGRAM,643,632,91,26,117,146,299,58,3,9
2018,TRAUMATIC BRAIN INJURY,1,1,,,,,,1,,
2018,TAKE ME HOME,,1,,,,,,1,,
2018,TREASURY OFFSET PROGRAM,1,1,,,,,,1,,
2018,WV CHILDREN'S HEALTH INSURANCE PROGRAM,9,10,1,1,2,,6,2,,
2018,WEST VIRGINIA WORKS - TANF,72,74,17,5,22,29,13,10,,
2017,ADMINISTRATIVE DISQUALIFICATION HEARING,110,104,48,15,63,,2,39,,
2017,AGED/DISABLED WAIVER PROGRAM,41,38,16,6,22,6,7,1,2,
2017,ADULT PROTECTIVE SERVICES,30,26,7,6,13,5,,7,,1
2017,BUREAU FOR CHILD SUPPORT ENFORCEMENT,1,2,1,,1,,,1,,
2017,BURIAL,1,1,1,,1,,,,,
2017,CHILD CARE - CUSTOMER,30,29,15,3,18,8,1,,1,1
2017,CHILD CARE - PROVIDER,13,12,4,4,8,1,1,2,,
2017,CHILDREN W/DISABILITIES COMMUNITY SERVICE PROGRAM,8,8,2,,2,,5,1,,
2017,CERTIFIED-NURSE AIDE,18,22,9,2,11,2,1,8,,
2017,CHILD PROTECTIVE SERVICES,249,275,93,39,132,33,5,103,,2
2017,DISASTER SUPPLEMENTAL NUTRITION ASSISTANCE PROGRAM,2,2,1,,1,1,,,,
2017,EMERGENCY ASSISTANCE,6,6,2,,2,2,1,1,,
2017,EMERGENCY MEDICAL SERVICES,1,,,,,,,,,
2017,FOSTER CARE,24,28,8,1,9,5,1,12,,1
